RI,QA-check,Color-check,Purity-Level,Depth-percentage,Width-of-iron-top-width,Axis-x,Axis-y,Axis-z,Price-in-dollars,ID
1.01,Premium,H,VS1,61.9,57.0,6.43,6.39,3.97,4779,uid_36947
0.41,Premium,E,VS1,59.8,61.0,4.85,4.79,2.88,1153,uid_36834
2.18,Premium,H,SI2,62.3,59.0,8.37,8.26,5.18,11579,uid_39061
0.71,Very Good,F,VS2,59.5,58.0,5.82,5.87,3.48,2918,uid_39213
0.7,Ideal,E,SI2,61.0,55.0,5.76,5.78,3.52,2332,uid_15924
0.7,Ideal,F,VS2,60.8,57.0,5.75,5.77,3.5,2956,uid_6470
0.5,Ideal,E,SI2,62.5,57.0,5.04,5.07,3.16,1154,uid_52683
1.65,Ideal,G,VS2,60.8,56.0,7.65,7.7,4.67,14456,uid_22666
0.32,Premium,E,SI1,62.0,60.0,4.43,4.38,2.73,624,uid_52893
1.01,Good,E,SI2,63.7,58.0,6.36,6.32,4.04,4751,uid_50760
0.41,Ideal,G,SI1,62.9,56.0,4.75,4.7,2.97,923,uid_16883
0.82,Premium,H,VS1,62.3,60.0,5.97,5.94,3.71,2985,uid_1755
0.31,Ideal,E,VS1,61.8,56.0,4.34,4.37,2.69,734,uid_38622
0.3,Ideal,F,SI1,62.3,54.0,4.27,4.3,2.67,500,uid_45538
0.32,Ideal,F,VVS2,60.9,56.0,4.44,4.46,2.71,800,uid_38154
0.51,Ideal,E,VS2,61.5,55.0,5.23,5.14,3.19,1662,uid_45524
0.5,Premium,G,SI2,62.0,59.0,5.1,5.03,3.14,1031,uid_14018
0.26,Ideal,E,VS1,61.8,55.0,4.13,4.09,2.54,580,uid_3542
0.3,Very Good,D,VS1,59.7,58.0,4.39,4.32,2.6,681,uid_2550
0.54,Ideal,E,VS2,60.8,57.0,5.29,5.24,3.2,1847,uid_31862
1.71,Ideal,I,VS2,60.5,56.0,7.71,7.73,4.67,11455,uid_3073
0.44,Premium,D,SI1,61.9,59.0,4.86,4.9,3.02,849,uid_53173
1.26,Premium,I,VS2,61.2,59.0,7.03,6.9,4.26,6350,uid_16327
0.26,Very Good,G,VVS2,62.5,55.0,4.1,4.12,2.57,486,uid_42787
0.33,Premium,G,VVS1,61.9,59.0,4.41,4.38,2.72,1114,uid_23386
1.11,Ideal,J,VS1,61.7,57.0,6.67,6.72,4.13,4854,uid_13016
0.35,Ideal,I,VS2,62.5,57.0,4.53,4.5,2.82,630,uid_4617
0.77,Ideal,D,SI2,60.2,56.0,5.98,6.04,3.62,2923,uid_9976
1.5,Very Good,J,SI1,62.7,58.0,7.22,7.26,4.54,6987,uid_12226
1.17,Ideal,G,VS2,62.0,57.0,6.74,6.78,4.19,7423,uid_40849
0.31,Premium,E,SI1,59.3,59.0,4.42,4.48,2.64,544,uid_37256
0.9,Fair,E,SI2,64.4,58.0,6.07,6.01,3.89,2639,uid_22701
0.3,Premium,D,VS2,60.9,58.0,4.32,4.35,2.64,710,uid_43464
0.72,Ideal,F,VS2,59.5,57.0,5.91,5.86,3.5,2863,uid_46785
0.5,Good,G,SI1,63.6,55.0,5.03,5.06,3.21,1197,uid_9666
1.6,Ideal,G,VS1,62.0,57.0,7.47,7.43,4.62,9856,uid_22875
0.32,Ideal,I,VS2,63.0,57.0,4.37,4.33,2.74,576,uid_15483
1.1,Ideal,F,VS2,60.0,57.0,6.76,6.71,4.04,6166,uid_52618
0.31,Premium,E,VVS2,62.3,56.0,4.34,4.3,2.69,1107,uid_20581
0.7,Very Good,H,SI2,63.3,56.0,5.64,5.68,3.58,1890,uid_45339
1.3,Very Good,F,SI2,61.1,58.0,6.98,7.02,4.28,6149,uid_15764
1.01,Good,G,SI2,63.7,58.0,6.35,6.31,4.03,3923,uid_20763
0.3,Ideal,E,VVS2,62.4,54.0,4.31,4.34,2.7,742,uid_12086
1.51,Ideal,E,VS1,61.5,57.0,7.34,7.4,4.53,18729,uid_7319
0.3,Very Good,G,VVS2,61.6,60.0,4.24,4.27,2.62,684,uid_32335
0.6,Premium,E,SI1,61.9,58.0,5.39,5.43,3.35,1738,uid_8066
0.23,Good,E,VVS1,64.4,57.0,3.87,3.9,2.5,472,uid_14050
1.53,Very Good,G,VS1,61.9,57.0,7.39,7.32,4.55,16219,uid_51581
0.42,Very Good,D,SI2,63.1,56.0,4.8,4.74,3.01,838,uid_38295
0.3,Ideal,G,VS2,61.6,58.0,4.27,4.3,2.64,545,uid_5193
1.51,Very Good,E,SI1,62.9,62.0,7.21,7.31,4.57,9474,uid_48995
1.26,Ideal,H,VS1,60.9,57.0,6.97,6.99,4.25,8238,uid_3829
0.7,Ideal,I,VS2,62.5,54.0,5.68,5.71,3.56,2390,uid_11566
1.5,Premium,F,SI1,61.9,60.0,7.26,7.21,4.48,10940,uid_10910
1.0,Very Good,E,SI1,63.3,57.0,6.3,6.36,4.01,5051,uid_12925
0.72,Ideal,E,VS2,60.8,57.0,5.79,5.82,3.53,3091,uid_44384
0.33,Ideal,E,VS2,59.3,58.0,4.53,4.51,2.68,681,uid_13443
1.0,Good,H,SI1,57.5,62.0,6.51,6.47,3.73,4788,uid_377
0.52,Ideal,G,VS2,61.7,56.0,5.15,5.19,3.19,1428,uid_19347
2.01,Very Good,J,SI2,61.0,57.0,8.09,8.14,4.95,11110,uid_14741
1.51,Premium,J,SI1,61.2,62.0,7.36,7.32,4.49,6976,uid_35426
2.01,Very Good,I,VS1,64.4,56.0,7.84,7.9,5.07,16811,uid_16702
1.62,Ideal,F,SI1,62.7,56.0,7.44,7.5,4.68,12712,uid_1960
0.9,Very Good,J,SI1,63.6,57.0,6.07,6.1,3.87,3225,uid_1461
0.24,Ideal,F,VS1,62.0,56.0,3.99,3.94,2.46,536,uid_963
1.28,Very Good,F,SI2,62.5,55.0,6.91,7.0,4.35,5223,uid_25026
1.24,Ideal,H,VS1,61.6,56.0,6.95,6.87,4.26,7743,uid_23317
1.73,Ideal,J,SI1,62.6,57.0,7.69,7.65,4.8,6927,uid_46549
0.52,Ideal,D,VS2,62.3,56.0,5.16,5.11,3.2,1919,uid_35249
0.9,Very Good,E,VS2,61.1,63.0,6.17,6.2,3.78,4134,uid_41641
0.93,Fair,G,SI1,64.4,57.0,6.14,6.09,3.94,3358,uid_25273
0.7,Premium,J,IF,60.5,59.0,5.67,5.73,3.45,2150,uid_14232
0.46,Ideal,I,VS1,62.0,54.0,4.97,4.99,3.09,997,uid_26975
0.42,Ideal,G,VVS2,62.6,55.0,4.78,4.77,2.99,1103,uid_38096
1.31,Ideal,F,SI2,62.7,57.0,7.05,6.98,4.4,6676,uid_52223
0.92,Premium,D,I1,63.0,58.0,6.18,6.13,3.88,2698,uid_39108
